id,display_name,description_text,description_rights_author,description_rights_license,description_rights_source_name,description_rights_source_url,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value,value
Closure,,,,,,,buckle,buttons,frogs,hooks and eyes,lacing,metal eyelets,none,snaps,thread eyelets,ties,toggles,velcro,zipper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neckline,,,,,,,boat neck,crew,halter,henley,inset,jewel,keyhole,off the shoulder,round,scoop,square,strapless,sweetheart,v-neck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collar,,,,,,,ascot,band,bertha,bow,Chelsea,convertible,cowl,funnel,jabot,Mandarin,Napoleon,peaked lapel,Peter Pan,polo,portrait,Puritan,ruffled,sailor,shawl,turtleneck,wingtip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve Type,,,,,,,batwing,bell,bishop,cowl,dolman,Juliet,kimono,lantern,leg o'mutton,petal,puff,raglan,roll-up,panes,straight,straps,tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleeve Length,,,,,,,strapless,cap,short,elbow,three-quarter,long,extra long,hanging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waist,,,,,,,angled,asymmetrical,bare midriff,basque,bolero,curved,dropped,Empire,high,hip-level,natural,no waistline,pointed,straight,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skirt,,,,,,,a-line,accordion-pleated,balloon,box-pleated,bustle,circular,crinoline,dirndl,flared,flounced,gathered,gored,handkerchief,layered,peg-top,pegged,peplum,pleated,prairie,sarong,straight,swagged,tiered,trumpet,yoked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hem,,,,,,,above knee,ankle length,asymmetrical,floor length,flounced,hip length,knee length,maxi,mid calf length,mid-thigh length,midi,ruffled,train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material,,,,,,,acetate,acrylic,angora,basket weave,boning,brocade,camel,cashmere,chiffon,cotton,crepe,crochet,damask,dobby weave,double-weave,elastic,felt,fiber blend,georgette,glass,hemp,jacquard,knit,lace,leather,linen,looped pile,matelasse,metal,microfiber,mohair,moire,natural fiber,net,nylon,plain weave,plastic,polyester,ramie,rayon,rib knit,rib weave,ribbon,satin,sheared pile,shell,silk,spandex,synthetic fiber,taffeta,twill weave,velvet,wax,wood,wool
Technique,,,,,,,applique,beading,braiding,burn-out,crocheting,drawloom,embossing,embroidery,flocking,glazing,hand sewing,hand weaving,knitting,lace making,machine sewing,mercerizing,needle work,needlepoint,painting,piecing,piping,pleating,polishing,printing,quilting,ruffling,smocking,weaving,,,,,,,,,,,,,,,,,,,,,,,,,,,
Color,,,,,,,beige,black,blue,brown,burgundy,coral,cream,fuchsia,gold,gray,green,lavender,maroon,multi,navy,orange,pink,purple,red,rust,tan,teal,turquoise,white,yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silhouette,,,,,,,A-line,bias-cut,bustle,chemise,coat,crinoline,drop-waist,empire,fit and flare,hourglass,jumper,mantua,pinafore,Polonaise,princess,robe a l'Anglaise,robe a la Francaise,round gown,S-curve,sheath,shirtwaist,slip,trapeze,toga,tunic,wrap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,